review_count,description,title,price,maker,link,genre,review
5458,"素肌を美しく引き締める大人気美容器！！「プラチナ電子ローラーReFaCARAT[リファカラット]PEC-L1706」は、人気のプラチナ電子ローラーReFa[リファ]シリーズの新モデルとなる美容用品です。プロのエステティシャンが行う『つまみ流す』動き（ニーディング）の複雑な動きを再現する360°マルチアングル構造で肌へ深くフィットし、『つまみ流す』全身ケアが体感いただけます。大きく弧を描いたアークハンドルが、肌に当たる角度を調整し、しっかりとした体感と吸い上げ機能を実現。また、2つのローラーから流れる微弱電流（マイクロカレント）が、肌に刺激を与えて細胞活性化・代謝の促進に繋がります。手に持って顔や身体をコロがすだけで簡単にトータルケアできます。リビングでTVを見ながら、電話をしながら、旅行先でなど場所を選ばず、防水加工なのでお風呂の中でもお使い頂けます。「挟む」「しぼる」「流す」などの複雑な動作がこれひとつでできる美容機器です。【商品につきまして】商品のデザイン・外装パッケージ等につきましては、予告なく変更になる場合がございます。◆シリアルナンバー付きは完売いたしました。※間違いなくMTGの商品となりますが値下げ販売の為、メーカーによる価格維持や正規店以外のネット販売を防ぐ為の流通経路を調査できる追跡シリアルNOは処理されており、当店の管理ナンバーになっております。※本当のコピー品であればシリアルナンバーを処理する意味がありません。　本物だから処理を行っております。　精巧なコピー品を作れるならシリアルナンバーをMTGの物と真似て作るなんて簡単な事です。　本当のコピー品を製造している工場があるとしたら既に摘発されているはずです。　このような理由からメーカー保証は受けられませんが万が一不具合の場合は当店で修理対応させて頂きます。■保証期間当店保証は商品出荷の日から一年間とさせて頂いておりますので、発送案内メール、又はお買い上げ明細書は大切に保存してください。■ご注意海外からのご注文は様々な問題がありますので、保証の範囲外となります。予めご了承下さいます様何卒どうぞ宜しくお願い申し上げます。Sincethepersonwhoplacedanorderfromoverseashasvariousproblems,theguaranteeofgoodsisnotattached.AguaranteeservesasonlyanorderfromJapan.※ReFaシリーズは下記より御確認下さい。商品名プラチナ電子ローラーReFaCARAT[リファカラット]PEC-L1706商品仕様材質：ABS樹脂、真鍮、アクリル、シリコンゴム、エラストマー、ステンレス、ナイロン、プラチナムコート質量：約195g付属品：本体ガイドブック（取扱説明書）、ポーチ、クリーンクロス型番：PEC-L1706製造国：日本サイズ約92×149×61mmメーカー（株）MTG商品区分美容用品広告文責日本健美生活(株)　TEL:048-823-9450【商品のお届け日につきまして】こちらの商品は、お取り寄せ商品となります。通常、お届けまで約3〜7日程お時間を頂いております。在庫がある場合は当日〜翌営業日にて出荷させて頂いております。メーカーに在庫が無い場合や、入荷までに7日以上の日数を要する場合は、別途ご連絡致します。",MTG PEC-L1706,16800,MTG,http://product.rakuten.co.jp/product/MTG+PEC-L1706/3611275a2188571b5a9300e3edcddb67/,その他,4.44
527,"●炭酸ミストケアPlosionシリーズ・消耗品は下記になります。・炭酸ミストケアPLOSIONdesalon[プロージョンデサロン](PL-FS1804)本体・ローションセット・炭酸ミストケアPlosion[プロージョン](CMC-L1413)本体※ローション無し・炭酸ミストケアPlosion[プロージョン]用炭酸ガスカートリッジ×6本セット・炭酸ミストケアPlosion[プロージョン]用炭酸ガスカートリッジ×3本セット・炭酸ミストケアPlosion[プロージョン]用炭酸ガスカートリッジ×1本・炭酸ミストケアPlosion[プロージョン]用フェイスエッセンシャルローション118ml×3本セット・炭酸ミストケアPlosion[プロージョン]用フェイスエッセンシャルローション118ml・炭酸ミストケアPlosion[プロージョン]用フェイスエッセンシャルローションエモリエント118ml×3本セット・炭酸ミストケアPlosion[プロージョン]用フェイスエッセンシャルローションエモリエント118ml・炭酸ミストケアPlosion[プロージョン]用スカルプエッセンス118ml×3本セット・炭酸ミストケアPlosion[プロージョン]用スカルプエッセンス118ml・炭酸ミストケアPlosion[プロージョン]用ボディエッセンシャルローション118ml×3本セット・炭酸ミストケアPlosion[プロージョン]用ボディエッセンシャルローション118ml★商品内容★☆充填ガス☆食品添加物、二酸化炭素（炭酸ガス）☆製造国☆日本★サイズ★　★区分★美容器ミストケア　カートリッジ★広告文責★ビューティラボ彩TEL:048-434-4880★商品説明★Plosion[プロージョン]CMC-L1413用の交換用炭酸ガスカートリッジです。他の炭酸ミスト製品にはご利用されないようお願い申し上げます。※高圧ガス製品のため航空機搭載禁止貨物となっており、航空便が利用できなくなっております。このため沖縄県また飛行機をご利用される離島地域への配送には海路での配送となるため、発送より7日前後のお時間を頂くことがございますのでご了承ください。",MTG 炭酸ガスカートリッジ 6本,1500,MTG,http://product.rakuten.co.jp/product/MTG+%E7%82%AD%E9%85%B8%E3%82%AC%E3%82%B9%E3%82%AB%E3%83%BC%E3%83%88%E3%83%AA%E3%83%83%E3%82%B8+6%E6%9C%AC/129debd109661d987e2ae0b71cf05f4b/,その他,4.66
16976,"スタッフコメントエビスの人気美顔器　ツインエレナイザーPROをどこよりお得に販売中!前作を超える驚きの高機能、効果をご体験ください!美顔器口コミランキング1位受賞＆美顔器人気ランキング連続1位受賞記念プレゼント付!ブランド名エビス〔ebis〕商品名ツインエレナイザーPRO　ホームエステDXセットサイズ長さ170×幅50×厚さ46mm重量:約160g形状区分:日本製　美顔器〔Beauty〕　付属品◆美顔器ツインエレナイザー本体、◆コットンリング、◆充電アダプター1個、◆取扱説明書　商品説明累計23万台以上の販売数を誇る、当店人気NO.1美顔器「ツインエレナイザー」がバージョンUPして新登場!!ビタミンC誘導体ならば手で塗布するより、140倍の浸透力を発揮!すばやく、濃厚なお手入れを可能にしました。前回からの人気機能・イオンディープクレンジング・ツイン導入(イオン導入＋超音波同時ケア)にマイクロカレント(整体電流)ケア機能をプラスし、より充実したお手入れが可能になりました!さらに見やすい液晶モニターを搭載し、お手入れの状態や、電池残量も簡単確認できるようになりました。プロのエステティシャンも絶賛する「人気美顔器ツインエレナイザーPRO」をぜひお試しください!!※妊娠中の方のご使用はお控えください。セット◆ツインエレナイザーpro　本体◆Cエッセンス　20ml◆エクセレントバイオEX100　10ml◆MC100　10ml↓◆モイスチャーローション◆オリジナルポーチ今ダケ、「レビュー書く」で◆エッセンシャルジェル105g◆アミノローションSPDX2ml美容液をセットでお届けします。※商品お届け後レビューを書き込みください。メーカー1年保証付き海外配送の情報配送時重量：約1.5kgツインエレナイザーPROの充電器は国際対応しております。対応電量　100V−240V※国により若干電力が異なる場合がございます、ご使用前に念のためお確かめください。広告文責株式会社スターアベニュー03-5983-3366区分:日本製　美容雑貨　美顔器　付属品：化粧品／医薬部外品メーカー名：エビス美顔器／美顔機／美顔器口コミ／ツインエレナイザープロ　最安値／エビス美顔器ツインエレナイザーPRO／ビガンキ／人気美顔器／超音波美顔器／イオン導入美顔器／sa-ebi-fa-u-00007／＃50505＃／プラチナゲルマローラー／スリムセラ／超音波美顔器ジェル*090131*／▽トリートメントで使用するアイテムは単品でもご購入頂けます▽",エビス 超音波美顔器 ツインエレナイザーPRO　リファ インセット,27000,エビス,http://product.rakuten.co.jp/product/%E3%82%A8%E3%83%93%E3%82%B9+%E8%B6%85%E9%9F%B3%E6%B3%A2%E7%BE%8E%E9%A1%94%E5%99%A8+%E3%83%84%E3%82%A4%E3%83%B3%E3%82%A8%E3%83%AC%E3%83%8A%E3%82%A4%E3%82%B6%E3%83%BCPRO%E3%80%80%E3%83%AA%E3%83%95%E3%82%A1+%E3%82%A4%E3%83%B3%E3%82%BB%E3%83%83%E3%83%88/a8d2529bab03541020c74320ca08d4cd/,超音波美顔器,4.15
33,"",MTG ReFa SCARAT,15660,MTG,http://product.rakuten.co.jp/product/MTG+ReFa+SCARAT/15d21a35079d65004bf5472f981bd948/,その他,4.52
3808,"商品名リファカラット　ウォームスタンド材質ABS樹脂、アルミサイズ(約):縦120mm、横110mm、奥行124mm重量(約)250g電源INPUT／100〜140V、1.0A、50Hz-60HzOUTPUT／12V、1.5A消費電力(約)4.0W設定温度ヒートカップ表面温度55℃Max(ローラー接触部分42℃Max)タイマー時間30分生産国中国発売元株式会社MTG広告文責良品プラス株式会社0120-23-0909",MTG PEV-L1507,5940,MTG,http://product.rakuten.co.jp/product/MTG+PEV-L1507/19880bae2adb6583e12629c066b7f7c2/,その他,4.36
61,"10倍、きれいに※。かつてない透明感の肌へ。【商品解説】●回転と上下振動のダブルアクションで、泡だけでは入り込めない毛穴の奥の汚れまで、肌にやさしいディープクレンジングが可能●古い角質や汚れもていねいに洗い上げ、手洗顔の10倍※の洗浄効果を実現しました●毎日の洗顔に最適なジェントルクレンジングモード（低スピード設定）。より集中的なディープクレンジングモード（高スピード設定）。肌のコンディションにあわせて2段階のスピードを選べます●防水仕様（IPX7基準をクリア）で、シャワーやバスルームでも使用が可能●毛穴よりも細かいブラシの毛先（50〜75ミクロン）が肌にぴたりとフィットして、気になる小鼻や生え際などの汚れもしっかりオフ。手洗顔では落としにくい、日焼け止めなどの落としにくいメイク汚れも、肌にダメージを与えることなく取り除きます●スタンドに置くだけで充電と収納が同時にできるコンパクトな設計で、パウダールームでも場所をとりません【スペック】●定格電圧：充電式　AC100−240V　50／60HZ（海外でも使用可能）●消費電力：7．5W●充電時間：約6時間●使用回数／時間：約30分（フル充電時）●表示：スピードセッティング表示（白）、充電表示（白）、充電催促表示（オレンジ）●充電池：リチウムイオン電池●耐水性：お風呂で使用可、本体丸洗い可（IPX7基準をクリア。充電スタンドを除く）●素材：ABS樹脂●本体寸法：幅45×奥45×高さ200mm（充電スタンドを除く）●本体質量：144g（ブラシを除く本体のみ）●付属品：本体、ノーマル肌用ブラシ（保護キャップ付き）、敏感肌用ブラシ（保護キャップ付き）、充電アダプタ、充電スタンド、ポーチ、クイックスタートガイド、取扱説明書配送方法この商品は、宅配便でお届けする商品です。宅配便（佐川急便）でのお届けになります。お買い上げ合計5,000円以上で送料無料（期間限定）となります。※5,000円未満の場合は、全国一律540円（税込）となります。●出荷可能日から最短日時でお届けします。（日時指定は出来ません。）※お届け時に不在だった場合は、「ご不在連絡表」が投函されます。　「ご不在連絡表」に記載された佐川急便の連絡先へ、再配達のご依頼をお願い致します。●お届けは玄関先までとなります。●宅配便でお届けする商品をご購入の場合、不用品リサイクル回収はお受けしておりません。●全て揃い次第の出荷となりますので、2種類以上、または2個以上でのご注文の場合、出荷が遅れる場合があります。詳細はこちらコジマ楽天市場店いちおし商品象印ホットプレート　やきやきEA−BM30−TA　ステンレス＜ブラウン＞【送料無料】7,250円(税込）Canonインクジェットプリンター「PIXUS」　A4PIXUS　IP27003,787円(税込）テルモ電子血圧計（腕挿入式）「アームイン・プラス血圧計」ES−P2000BR【送料無料】9,101円(税込）Panasonicコーヒーメーカー（ミル・浄水機能付き）　沸騰浄水コーヒーメーカー（全自動タイプ）NC−A55P−K＜ブラック＞【送料無料】14,100円(税込）ネスレドルチェグスト「ピッコロ・プレミアム」MD9744−PR　＜ワインレッド＞【送料無料】6,548円(税込）",PHILIPS SC5275/10,10530,0,http://product.rakuten.co.jp/product/PHILIPS+SC5275%EF%BC%8F10/492bed9a0f1016d7fa9975816a68672c/,その他,4.36
799,"2014年最新機種の毛穴クリーンプラチナムもご検討下さい！下記の画像をクリック！",ベターライフ プラソニエ アクアケアナクリーンDUO,6270,イノベイション,http://product.rakuten.co.jp/product/%E3%83%99%E3%82%BF%E3%83%BC%E3%83%A9%E3%82%A4%E3%83%95+%E3%83%97%E3%83%A9%E3%82%BD%E3%83%8B%E3%82%A8+%E3%82%A2%E3%82%AF%E3%82%A2%E3%82%B1%E3%82%A2%E3%83%8A%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3DUO/2e164badb290bd62d8fe258eab8e9c3a/,その他,3.92
342,"ブランド名デルファーマ商品名／内容量VCイオンローション／100ml特徴シミやくすみ、ニキビにはもちろん、毛穴の開きやたるみなどに効果的で、万能ビタミンといわれているビタミンCを高濃度7％配合。デルファーマイオン導入器VCキュアでの導入により、さらにビタミンCが肌の深部まで浸透します。使用方法洗顔後、VCイオンローション適量をコットンに含ませ、VCキュアでイオンクレンジングを行います。その後、コットンを交換し、再びVCイオンローションをコットンに適量含ませ、イオン導入を行います。VCキュア使用後は化粧水で肌を整え、保湿クリームまたは保湿ジェルで保湿します。(週2〜3回)※ビタミンCを高濃度配合した製品は、時間の経過と共に黄色く変色しますが)、デルファーマでは導入用の化粧品にはふさわしくない、安定化剤や変色を紛らわすための着色剤を使用しておりません。購入後は長期保管せず、また開封後は冷蔵庫に保管し、1〜2ヶ月以内に使い切るようお願いします。成分水、アスコルビルリン酸Na、BG、ペンチレングリコール、クエン酸、水酸化Na、リン酸アスコルビルMg、フェノキシエタノール、乳酸、オウゴンエキス、グリチルリチン酸2K、キサンタンガム、ヒアルロン酸Na区分化粧品販売元株式会社　エスト・コミュ　広告文責株式会社ベルブリッジ／連絡先：0120-040-710こちらはフレームを使用しております。表示されない場合は、フレーム対応のブラウザでご覧ください。",≪イオン導入器ご使用時に≫デルファーマ　VCイオン ローション,5400,エクセレントメディカル,http://product.rakuten.co.jp/product/%E2%89%AA%E3%82%A4%E3%82%AA%E3%83%B3%E5%B0%8E%E5%85%A5%E5%99%A8%E3%81%94%E4%BD%BF%E7%94%A8%E6%99%82%E3%81%AB%E2%89%AB%E3%83%87%E3%83%AB%E3%83%95%E3%82%A1%E3%83%BC%E3%83%9E%E3%80%80VC%E3%82%A4%E3%82%AA%E3%83%B3+%E3%83%AD%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3/21e838c9a8ea55dfb6ba53edcacf3e6e/,イオン導入器,4.50
381,"",スーパーソニックジェリー(超音波美容器用ジェル),1944,0,http://product.rakuten.co.jp/product/%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%BC%28%E8%B6%85%E9%9F%B3%E6%B3%A2%E7%BE%8E%E5%AE%B9%E5%99%A8%E7%94%A8%E3%82%B8%E3%82%A7%E3%83%AB%29/29e1b4a9061997d6b5e539cb61ad235f/,超音波美顔器,4.40
429,"コアパルス(ポレーション)、EMS、高周波、LED、半導体チップの機能を1つに。ゲルマニウムローラーで知られるキャネットと杉本彩さんとのコラボ企画としてリリースされた、家庭用ポレーション美顔器です。◎仕様サイズ：約W49×H177.5×D44mm本体重量約66.5g定格電源：入力：100V50／60Hz0.5A　出力：DC15V／800mA材質：本体：ABS樹脂・ポリカーボネイト・クロムメッキ　／　電極部：ステンレス　／　半導体チップ：酸化チタン・ゲルマニウム",キャネット CP-1000,22180,キャネット,http://product.rakuten.co.jp/product/%E3%82%AD%E3%83%A3%E3%83%8D%E3%83%83%E3%83%88+CP-1000/74450e6c1e2303e7a48ee1010f823b15/,その他,4.17
